,Titres,Format Prix,Dimensions Format Broché,Evaluations (sur 5),Nombre d'évaluations,Liens
0,Régime À Faible Teneur En Glucides + Plan De Repas: Plus De 60 Recettes Faciles Pour Perdre Du Poids - Enfin Brûler Les Graisses Et Retrouver La Santé (Low Carb Cookbook French Book),"['Format Kindle 6,95', 'Broché 19,95']",13.97 x 0.91 x 21.59 cm,None,None,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09997301W4QRSJGZHTWQ&url=%2FR%25C3%25A9gime-Faible-Teneur-Glucides-Repas%2Fdp%2F177435120X%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3D%2522livre%2Brecette%2Bminceur%2522%26qid%3D1618605699%26sr%3D8-49-spons%26psc%3D1&qualifier=1618605699&id=4519265679306412&widgetName=sp_atf_next
1,"Le Régime Cétogène: Perdez du poids efficacement avec le régime cétogène - inclus un programme de 14 jours, idéal aussi bien pour les débutants que pour les connaisseurs","['Format Kindle 3,95', 'Broché 7,95']",12.7 x 0.84 x 20.32 cm,"3,7",393,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09823072S7BINM3N0QL3&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-efficacement-programme-connaisseurs%2Fdp%2FB087SN2SSW%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3D%2522livre%2Brecette%2Bminceur%2522%26qid%3D1618605699%26sr%3D8-50-spons%26psc%3D1&qualifier=1618605699&id=4519265679306412&widgetName=sp_atf_next
2,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Broché 7,87', 'Format Kindle 2,99']",12.7 x 0.36 x 20.32 cm,"3,2",109,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A026254834VHE5WAX6WDJ&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Perdre-jusqu%25C3%25A0-quelques%2Fdp%2F1975650492%2Fref%3Dsr_1_51_sspa%3Fdchild%3D1%26keywords%3D%2522livre%2Brecette%2Bminceur%2522%26qid%3D1618605699%26sr%3D8-51-spons%26psc%3D1&qualifier=1618605699&id=4519265679306412&widgetName=sp_atf_next
3,Agenda minceur 90 jours - mon suivi alimentaire détaillé: v2-1 Cahier régime | 90 jours pour maigrir | carnet regime à compléter sur 90 jours | 21cm x ... broché | planificateur fond gris anthracite,"['Broché 7,99']",17.78 x 0.58 x 25.4 cm,None,None,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A08297751Q8OW6YQJ6ONW&url=%2FAgenda-minceur-jours-alimentaire-planificateur%2Fdp%2FB08C94RKBT%2Fref%3Dsr_1_52_sspa%3Fdchild%3D1%26keywords%3D%2522livre%2Brecette%2Bminceur%2522%26qid%3D1618605699%26sr%3D8-52-spons%26psc%3D1&qualifier=1618605699&id=4519265679306412&widgetName=sp_atf_next
4,"Mes recettes minceur: Mon carnet à remplir spécial plats équilibrés, pour 50 fiches détaillées. Grand format 21,7x27.9cm, 108 pages. Intérieur noir et blanc page blanche","['Broché 6,99']",21.59 x 0.64 x 27.94 cm,None,None,https://www.amazon.fr//Mes-recettes-minceur-%C3%A9quilibr%C3%A9s-d%C3%A9taill%C3%A9es/dp/B08NMDFNBR/ref=sr_1_53?dchild=1&keywords=%22livre+recette+minceur%22&qid=1618605699&sr=8-53
5,"Mes recettes équilibrées: Mon carnet à remplir spécial plats minceur, pour 50 fiches détaillées. Grand format 21,7x27.9cm, 108 pages. Intérieur noir et blanc page blanche","['Broché 6,99']",21.59 x 0.64 x 27.94 cm,"5,0",1,https://www.amazon.fr//Mes-recettes-%C3%A9quilibr%C3%A9es-d%C3%A9taill%C3%A9es-Int%C3%A9rieur/dp/B08NNMST2H/ref=sr_1_54?dchild=1&keywords=%22livre+recette+minceur%22&qid=1618605699&sr=8-54
6,Le Petit Livre de - Recettes minceur pour mon homme,"['Format Kindle 1,99', 'Poche 2,00']",None,"2,0",1,https://www.amazon.fr//Petit-Livre-Recettes-minceur-homme-ebook/dp/B005R245VQ/ref=sr_1_55?dchild=1&keywords=%22livre+recette+minceur%22&qid=1618605699&sr=8-55
7,Mes Recettes: cahier des recettes I cahier de cuisine I livre de recette a remplir I livre pour ecrire ses recettes,"['Broché 6,95']",15.24 x 0.74 x 22.86 cm,None,None,https://www.amazon.fr//Mes-Recettes-recettes-cuisine-recette/dp/1691627666/ref=sr_1_56?dchild=1&keywords=%22livre+recette+minceur%22&qid=1618605699&sr=8-56
8,Mes Recettes: cahier des recettes I cahier de cuisine I livre de recette a remplir I livre pour ecrire ses recettes,"['Broché 6,95']",15.24 x 0.74 x 22.86 cm,None,None,https://www.amazon.fr//Mes-Recettes-recettes-cuisine-recette/dp/1691627542/ref=sr_1_57?dchild=1&keywords=%22livre+recette+minceur%22&qid=1618605699&sr=8-57
9,"Petit livre des recettes minceur, nouvelle édition","['Poche 1,47']",None,"4,1",8,https://www.amazon.fr//Petit-recettes-minceur-nouvelle-%C3%A9dition/dp/2876917378/ref=sr_1_58?dchild=1&keywords=%22livre+recette+minceur%22&qid=1618605699&sr=8-58
